Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C23,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.975,-99.765,90.0,top
C24,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.775,-95.665,90.0,top
C25,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,183.675,-96.715,-90.0,top
C26,4.7uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,201.9,-58.5,180.0,top
C27,4.7uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,225.4,-58.5,180.0,top
C28,10uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,187.3525,-66.0075,90.0,top
C29,10uF_1206_50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,213.5,-65.8,90.0,top
C30,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.7025,-65.2075,-90.0,top
C31,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,211.4,-65.1,-90.0,top
C32,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,191.5025,-65.2075,-90.0,top
